#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 50
#T= 900
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",6,2,103060,76284,26774,23,0,73034,29993,0,16,9,0,3,0,3,0
2,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,72227,68550,3677,0,0,66672,5555,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,75389,72124,3265,0,0,70686,4703,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,51905,48966,2939,0,0,47802,4103,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,60862,57964,2898,0,0,56872,3990,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,79643,76192,3451,0,0,74557,5086,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,52444,49360,3084,0,0,48111,4333,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,81443,77548,3895,0,0,75413,6030,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",2,1,89634,79936,9697,5,0,78156,11472,0,5,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,26,"[76, 81, 87, 90, 66, 99, 78, 77, 82, 83, 111, 105, 95, 112, 86, 65, 73, 106, 84, 69, 91, 85, 100, 80, 113, 79]",0,0,77696,74258,3438,0,0,72609,5087,0,0,0,0,0,0,0,0
