#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",36,0,94455,88042,6413,2,0,83995,10454,0,2,1,2,1,0,0,0
2,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",44,0,63356,58966,4390,0,0,56960,6396,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,71439,67122,4317,0,0,65268,6171,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",53,0,81224,76235,4989,0,0,73563,7661,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,66311,58896,7415,0,0,53877,12434,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,78754,74130,4624,0,0,71888,6866,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,54627,50754,3873,0,0,49277,5350,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",62,0,69469,65004,4465,0,0,62883,6586,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,68949,64330,4619,0,0,62079,6870,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,60847,56708,4139,0,0,54980,5867,0,0,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,92709,86828,5881,0,0,83394,9315,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,88916,83308,5608,0,0,80114,8802,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,70017,65396,4621,0,0,63189,6828,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,75262,70058,5204,0,0,67234,8028,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",41,0,91134,85329,5805,0,0,81879,9255,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",1,0,85656,80353,5303,0,0,77497,8159,0,0,0,0,0,0,0,0
17,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,68280,63778,4502,0,0,61642,6638,0,0,0,0,0,0,0,0
18,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,54369,50276,4093,0,0,48653,5716,0,0,0,0,0,0,0,0
