#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 1800
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1800.000351816803
#SIMULATION_SPEED= 1800.000351816803
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",47,0,81432,74903,6529,0,0,71865,9567,0,0,0,0,0,0,0,0
2,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",38,0,73863,68410,5453,0,0,66518,7345,0,0,0,0,0,0,0,0
3,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,66283,60164,6119,0,0,57621,8662,0,0,0,0,0,0,0,0
4,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,60334,55456,4878,0,0,54165,6169,0,0,0,0,0,0,0,0
5,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",17,0,80377,74593,5784,0,0,72380,7997,0,0,0,0,0,0,0,0
6,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",44,0,69574,64418,5156,0,0,62799,6775,0,0,0,0,0,0,0,0
7,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,78919,73048,5871,2,0,70769,8146,0,2,1,0,1,0,0,0
8,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,57467,51074,6393,0,0,48219,9248,0,0,0,0,0,0,0,0
9,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,59837,55070,4767,0,0,53920,5917,0,0,0,0,0,0,0,0
10,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,74782,69454,5328,0,0,67791,6991,0,0,0,0,0,0,0,0
11,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51611,46642,4969,0,0,45229,6382,0,0,0,0,0,0,0,0
12,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",16,0,67171,61778,5393,0,0,59997,7174,0,0,0,0,0,0,0,0
13,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,60216,54756,5460,0,0,52854,7362,0,0,0,0,0,0,0,0
14,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,56529,51514,5015,0,0,50082,6447,0,0,0,0,0,0,0,0
15,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",34,0,79067,73532,5535,0,0,71545,7522,0,0,0,0,0,0,0,0
16,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51177,46318,4859,0,0,45022,6155,0,0,0,0,0,0,0,0
17,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,59868,54916,4952,0,0,53575,6293,0,0,0,0,0,0,0,0
18,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,85708,79432,6276,0,0,76760,8948,0,0,0,0,0,0,0,0
19,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",63,0,65038,60211,4827,0,0,58934,6104,0,0,0,0,0,0,0,0
20,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,77707,72482,5225,0,0,70882,6825,0,0,0,0,0,0,0,0
21,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,56937,52030,4907,0,0,50726,6211,0,0,0,0,0,0,0,0
22,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,77507,71684,5823,0,0,69467,8040,0,0,0,0,0,0,0,0
23,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,53106,47502,5604,0,0,45479,7627,0,0,0,0,0,0,0,0
24,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,50584,45790,4794,0,0,44682,5902,0,0,0,0,0,0,0,0
25,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,56307,51234,5073,0,0,49781,6526,0,0,0,0,0,0,0,0
26,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51968,46720,5248,0,0,45031,6937,0,0,0,0,0,0,0,0
27,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",163,0,87411,80969,6442,0,0,77967,9444,0,0,0,0,0,0,0,0
28,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",29,0,76333,71007,5326,0,0,69234,7099,0,0,0,0,0,0,0,0
29,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,72105,66766,5339,0,0,65010,7095,0,0,0,0,0,0,0,0
30,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51190,46326,4864,0,0,45088,6102,0,0,0,0,0,0,0,0
31,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,78558,73140,5418,0,0,71389,7169,0,0,0,0,0,0,0,0
32,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,63724,58602,5122,0,0,57123,6601,0,0,0,0,0,0,0,0
33,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,93026,84958,8068,2,0,80492,12530,0,2,1,0,1,0,0,0
34,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,71968,66706,5262,0,0,65026,6942,0,0,0,0,0,0,0,0
35,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,52944,47852,5092,0,0,46351,6593,0,0,0,0,0,0,0,0
36,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,39251,32842,6409,0,0,30063,9188,0,0,0,0,0,0,0,0
37,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,90259,83020,7239,0,0,79390,10869,0,0,0,0,0,0,0,0
38,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,82645,75720,6925,0,0,72334,10311,0,0,0,0,0,0,0,0
39,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",28,0,70154,64546,5608,0,0,62518,7636,0,0,0,0,0,0,0,0
40,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",21,0,79982,74215,5767,0,0,72053,7929,0,0,0,0,0,0,0,0
41,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,74175,67846,6329,0,0,65100,9075,0,0,0,0,0,0,0,0
42,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,74059,68416,5643,0,0,66363,7696,0,0,0,0,0,0,0,0
43,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",75,0,72817,66017,6800,0,0,62764,10053,0,0,0,0,0,0,0,0
44,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51205,46282,4923,0,0,44960,6245,0,0,0,0,0,0,0,0
45,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,49468,44732,4736,0,0,43572,5896,0,0,0,0,0,0,0,0
46,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51899,46880,5019,0,0,45406,6493,0,0,0,0,0,0,0,0
47,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51761,46874,4887,0,0,45599,6162,0,0,0,0,0,0,0,0
48,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",2,1,109391,82958,26432,5,0,80441,28944,0,5,0,0,0,0,0,0
49,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,57873,52862,5011,0,0,51445,6428,0,0,0,0,0,0,0,0
50,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,67299,62016,5283,0,0,60340,6959,0,0,0,0,0,0,0,0
51,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,67078,61950,5128,0,0,60384,6694,0,0,0,0,0,0,0,0
52,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,89820,82288,7532,0,0,78386,11434,0,0,0,0,0,0,0,0
53,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",76,0,93313,84102,9211,6,0,78410,14891,0,6,3,0,3,0,0,0
54,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",47,1,90094,75440,14653,7,0,72868,17216,0,5,3,0,1,0,0,0
55,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",111,1,97330,72518,24811,7,0,70282,27038,0,5,3,0,1,0,0,0
56,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,81719,76072,5647,0,0,74002,7717,0,0,0,0,0,0,0,0
57,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",45,1,133505,84646,48858,15,0,81595,51888,0,9,9,0,3,0,0,0
58,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",55,0,58195,53313,4882,0,0,51966,6229,0,0,0,0,0,0,0,0
59,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,72633,66994,5639,0,0,64911,7722,0,0,0,0,0,0,0,0
60,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",32,0,81563,75734,5829,0,0,73437,8126,0,0,0,0,0,0,0,0
61,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,51236,46380,4856,0,0,45153,6083,0,0,0,0,0,0,0,0
62,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",0,0,66976,61168,5808,0,0,58944,8032,0,0,0,0,0,0,0,0
63,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",8,2,122242,74194,48046,11,0,71089,51140,0,11,0,0,0,0,0,0
64,0,1800.000351816803,1800.000351816803,10,"[68, 70, 65, 66, 76, 74, 73, 72, 79, 69]",39,0,68358,62835,5523,0,0,60848,7510,0,0,0,0,0,0,0,0
