#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 1800
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1800.0027248492124
#SIMULATION_SPEED= 1800.0027248492124
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",2,0,86723,80134,6589,8,0,77066,9635,0,2,7,0,3,0,10,0
2,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,63804,58814,4990,0,0,57478,6326,0,0,0,0,0,0,0,0
3,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,55398,49968,5430,0,0,48188,7210,0,0,0,0,0,0,0,0
4,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,67699,62502,5197,0,0,60892,6807,0,0,0,0,0,0,0,0
5,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,63207,57964,5243,0,0,56350,6857,0,0,0,0,0,0,0,0
6,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",109,1,111533,91092,20440,7,0,86921,24598,0,4,0,0,4,0,5,0
7,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,61698,56840,4858,0,0,55550,6148,0,0,0,0,0,0,0,0
8,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,63762,58366,5396,0,0,56582,7180,0,0,0,0,0,0,0,0
9,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,82318,75820,6498,0,0,72914,9404,0,0,0,0,0,0,0,0
10,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,70191,65186,5005,0,0,63744,6447,0,0,0,0,0,0,0,0
11,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,52141,47432,4709,0,0,46258,5883,0,0,0,0,0,0,0,0
12,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",19,0,88145,81087,7058,8,0,77553,10570,0,2,7,0,3,0,10,0
13,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,54256,49010,5246,0,0,47390,6866,0,0,0,0,0,0,0,0
14,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,74046,68846,5200,0,0,67212,6834,0,0,0,0,0,0,0,0
15,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,68898,63646,5252,0,0,61927,6971,0,0,0,0,0,0,0,0
16,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",292,1,100446,81946,18499,4,0,78750,21691,0,4,0,0,0,0,0,0
17,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,74398,68584,5814,0,0,66352,8046,0,0,0,0,0,0,0,0
18,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",2,0,78796,72004,6792,0,0,68856,9940,0,0,0,0,0,0,0,0
19,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",43,0,82860,76003,6857,0,0,72717,10143,0,0,0,0,0,0,0,0
20,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",188,2,166561,106212,60347,30,0,102322,64169,0,16,21,0,6,6,19,0
21,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,52852,47854,4998,0,0,46496,6356,0,0,0,0,0,0,0,0
22,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,55206,50544,4662,0,0,49502,5704,0,0,0,0,0,0,0,0
23,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,57026,52240,4786,0,0,51007,6019,0,0,0,0,0,0,0,0
24,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,59517,54524,4993,0,0,53108,6409,0,0,0,0,0,0,0,0
25,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",45,0,73273,68093,5180,0,0,66422,6851,0,0,0,0,0,0,0,0
26,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,51103,46468,4635,0,0,45341,5762,0,0,0,0,0,0,0,0
27,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",45,0,86036,79639,6397,0,0,76785,9251,0,0,0,0,0,0,0,0
28,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,57913,53012,4901,0,0,51716,6197,0,0,0,0,0,0,0,0
29,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,65194,60010,5184,0,0,58466,6728,0,0,0,0,0,0,0,0
30,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,62353,57394,4959,0,0,56010,6343,0,0,0,0,0,0,0,0
31,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,70792,65612,5180,0,0,64037,6755,0,0,0,0,0,0,0,0
32,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,43698,36952,6746,0,0,33880,9818,0,0,0,0,0,0,0,0
33,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,71482,66172,5310,0,0,64484,6998,0,0,0,0,0,0,0,0
34,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,50921,46242,4679,0,0,45165,5756,0,0,0,0,0,0,0,0
35,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,65820,60580,5240,0,0,58935,6885,0,0,0,0,0,0,0,0
36,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,89272,81400,7872,0,0,77082,12190,0,0,0,0,0,0,0,0
37,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,52239,47362,4877,0,0,46099,6140,0,0,0,0,0,0,0,0
38,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,82524,76626,5898,0,0,74402,8122,0,0,0,0,0,0,0,0
39,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,73083,67778,5305,0,0,66095,6988,0,0,0,0,0,0,0,0
40,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",2,0,74924,69758,5166,0,0,68191,6733,0,0,0,0,0,0,0,0
41,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,51084,46496,4588,0,0,45511,5573,0,0,0,0,0,0,0,0
42,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,85894,79692,6202,0,0,77060,8834,0,0,0,0,0,0,0,0
43,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",162,0,68434,62880,5554,0,0,60715,7719,0,0,0,0,0,0,0,0
44,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,71651,66668,4983,0,0,65296,6355,0,0,0,0,0,0,0,0
45,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",310,0,99321,88505,10816,5,0,80931,18379,0,4,5,0,2,0,0,0
46,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,55210,49884,5326,0,0,48166,7044,0,0,0,0,0,0,0,0
47,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,56229,51436,4793,0,0,50240,5989,0,0,0,0,0,0,0,0
48,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,74436,68432,6004,0,0,66042,8394,0,0,0,0,0,0,0,0
49,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,78629,72780,5849,0,0,70521,8108,0,0,0,0,0,0,0,0
50,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,53402,48422,4980,0,0,47058,6344,0,0,0,0,0,0,0,0
51,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,78390,73348,5042,0,0,71863,6527,0,0,0,0,0,0,0,0
52,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,58590,53702,4888,0,0,52436,6154,0,0,0,0,0,0,0,0
53,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",167,0,120495,89412,31083,22,0,85330,35115,0,14,9,0,14,2,11,0
54,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,66628,61678,4950,0,0,60371,6257,0,0,0,0,0,0,0,0
55,0,1800.0027248492124,1800.0027248492124,8,"[74, 65, 70, 68, 73, 76, 66, 79]",0,0,82890,76794,6096,0,0,74324,8566,0,0,0,0,0,0,0,0
