#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 1200
#K_GROUP= 10
#AREA= 200
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",93,0,85164,78087,7077,0,0,73318,11846,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1034,2,900113,769953,130158,161,0,699582,200104,0,54,118,42,54,104,53,0
3,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",4675,0,1210692,1080237,130455,274,0,976534,233396,0,44,222,35,105,271,85,0
4,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,102474,93174,9300,0,0,86276,16198,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",48,0,216066,195058,21008,0,0,176442,39624,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",219,0,102603,93758,8845,1,0,87110,15490,0,0,3,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",519,0,240903,215772,25131,1,0,192628,48272,0,0,0,0,2,0,1,0
8,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",159,0,96328,88167,8161,0,0,82247,14081,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2399,1,1711691,1485406,226284,454,0,1363730,346756,0,102,322,45,159,380,196,0
10,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",127,0,99994,91919,8075,0,0,86142,13852,0,0,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",476,0,110361,102206,8155,2,0,95982,14375,0,2,1,0,1,0,0,0
12,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",715,0,296741,261900,34841,13,0,229075,67633,0,10,14,4,5,0,0,0
13,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,111338,103382,7956,0,0,97856,13482,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,92851,85548,7303,0,0,80623,12228,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",158,0,287670,253378,34292,0,0,221440,66230,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",250,0,322051,288584,33467,0,0,257344,64707,0,0,0,0,0,0,0,0
17,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1072,0,192841,174527,18314,13,0,157751,35053,0,2,16,0,3,12,4,0
18,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",4098,0,1109916,993793,116123,279,0,901735,207410,0,50,184,40,110,265,122,0
19,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1202,0,625802,544982,80820,120,0,490395,135103,0,39,86,5,57,74,43,0
20,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",99,0,307740,274635,33105,0,0,243874,63866,0,0,0,0,0,0,0,0
21,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,101093,92626,8467,0,0,86538,14555,0,0,0,0,0,0,0,0
22,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2180,1,713786,624408,89377,193,0,564096,149158,0,36,158,44,49,161,83,0
23,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",59,0,72025,66145,5880,0,0,62611,9414,0,0,0,0,0,0,0,0
24,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",3484,0,775808,687586,88222,172,0,616874,158490,0,42,120,11,84,142,45,0
25,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",437,0,170053,153781,16272,4,0,139497,30548,0,4,2,0,2,0,0,0
26,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1366,1,596614,518494,78119,156,0,470040,126167,0,32,141,10,58,126,39,0
27,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2589,0,1840641,1649872,190769,455,0,1489689,349713,0,98,302,50,179,404,206,0
28,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2146,0,1076722,950811,125911,251,0,852760,223285,0,52,187,30,107,205,96,0
29,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2929,1,792961,707692,85268,172,0,642860,149644,0,39,110,16,66,162,63,0
30,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1480,1,702390,624924,77465,113,0,566391,135699,0,21,75,13,41,70,79,0
31,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1607,0,3526851,3122506,404345,1113,0,2970788,553110,0,184,985,125,189,1029,441,0
32,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",125,0,88975,81601,7374,0,0,76545,12430,0,0,0,0,0,0,0,0
33,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",259,0,167041,152227,14814,2,0,139607,27428,0,0,3,0,0,3,0,0
34,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2322,0,1048766,937734,111032,248,0,846718,201338,0,54,215,54,86,174,127,0
35,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",148,0,199054,180312,18742,0,0,163857,35197,0,0,0,0,0,0,0,0
36,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,133575,121256,12319,0,0,111341,22234,0,0,0,0,0,0,0,0
37,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1820,0,1257254,1121439,135815,285,0,1009559,246912,0,50,211,32,107,261,122,0
38,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",268,0,182446,165154,17292,0,0,150027,32419,0,0,0,0,0,0,0,0
39,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",654,0,167980,148852,19128,4,0,131643,36329,0,4,1,1,2,0,0,0
40,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",29,0,147087,132411,14676,0,0,120148,26939,0,0,0,0,0,0,0,0
41,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",680,0,996549,889212,107337,196,0,808034,187985,0,36,171,17,76,141,89,0
42,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,236672,215424,21248,0,0,196548,40124,0,0,0,0,0,0,0,0
43,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",55,0,112569,102957,9612,0,0,95689,16880,0,0,0,0,0,0,0,0
44,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1245,0,693226,623029,70197,104,0,560322,132612,0,16,77,14,35,111,39,0
45,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",70,0,167424,151350,16074,0,0,137641,29783,0,0,0,0,0,0,0,0
46,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",38,0,318123,280578,37545,0,0,245420,72703,0,0,0,0,0,0,0,0
47,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1004,1,1431361,1263013,168347,264,0,1169358,261302,0,66,195,35,83,218,103,0
48,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1521,0,546107,480426,65681,95,0,428277,117587,0,22,38,6,50,76,51,0
49,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",165,0,351338,317013,34325,0,0,285063,66275,0,0,0,0,0,0,0,0
50,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1065,0,1194284,1035095,159189,274,0,949747,243847,0,82,189,18,97,199,105,0
51,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",193,0,99495,92373,7122,0,0,87486,12009,0,0,0,0,0,0,0,0
52,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",530,0,162151,146118,16033,0,0,132086,30065,0,0,0,0,0,0,0,0
53,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",121,0,77332,71191,6141,0,0,67320,10012,0,0,0,0,0,0,0,0
54,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",588,0,97532,89688,7844,0,0,83689,13843,0,0,0,0,0,0,0,0
55,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",576,0,1234075,1105055,129020,267,0,998246,235094,0,54,230,32,103,212,104,0
56,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",2658,0,937626,834805,102821,189,0,754840,182273,0,42,127,22,75,187,60,0
57,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",3192,1,2387871,2120807,267063,660,0,1937421,448673,0,128,498,93,156,589,312,0
58,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",84,0,77499,71060,6439,0,0,66930,10569,0,0,0,0,0,0,0,0
59,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",1347,0,739302,653346,85956,207,0,596083,142648,0,30,169,20,74,202,76,0
60,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",0,0,140903,128366,12537,0,0,118220,22683,0,0,0,0,0,0,0,0
61,0,1200.000000000004,1200.000000000004,15,"[65, 73, 74, 77, 69, 75, 79, 78, 66, 67, 80, 68, 76, 72, 70]",508,0,636299,564096,72203,152,0,510052,125841,0,30,109,12,62,132,61,0
