#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 200
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,223579,204408,19171,0,0,187637,35942,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",5497,0,615796,562030,53766,337,0,525716,89053,0,14,176,46,54,310,427,0
3,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,68243,62820,5423,0,0,59801,8442,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",6089,0,620080,564628,55452,359,0,531159,87824,0,14,176,54,56,309,488,0
5,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,68494,62992,5502,0,0,59929,8565,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,213535,194726,18809,0,0,178295,35240,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",7739,0,738775,673724,65051,431,0,635084,102378,0,14,221,58,58,395,567,0
8,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",27,0,140341,128912,11429,131,0,119420,20506,0,0,81,22,4,135,173,0
9,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",6666,0,632654,569067,63587,403,0,529888,101535,0,14,206,58,57,361,535,0
10,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,127423,116142,11281,36,0,107134,20181,0,0,30,0,0,51,27,0
11,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",32,0,83957,77706,6251,0,0,73829,10128,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,64144,59146,4998,0,0,56543,7601,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",1,0,79423,73093,6330,0,0,69200,10223,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",3001,0,625812,568774,57038,415,0,536139,88404,0,14,207,59,57,379,553,0
15,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",7465,0,755378,681450,73928,433,0,626789,127262,0,14,225,59,55,407,567,0
16,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",263,1,219459,183084,36374,77,0,169794,49449,0,4,90,0,4,96,21,0
17,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,59472,54968,4504,0,0,52879,6593,0,0,0,0,0,0,0,0
18,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",275,0,268472,236804,31668,73,0,216503,51766,0,8,79,0,16,82,18,0
19,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,73183,67904,5279,0,0,65020,8163,0,0,0,0,0,0,0,0
20,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,87084,80606,6478,0,0,76512,10572,0,0,0,0,0,0,0,0
21,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,80228,73892,6336,0,0,69914,10314,0,0,0,0,0,0,0,0
22,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",8814,0,691306,629389,61917,440,0,591555,98413,0,11,235,69,37,421,565,0
23,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,93554,86760,6794,0,0,82360,11194,0,0,0,0,0,0,0,0
24,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",69,0,95584,88392,7192,17,0,83506,12027,0,0,15,0,0,21,15,0
25,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,57869,53404,4465,0,0,51432,6437,0,0,0,0,0,0,0,0
26,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",45,0,74662,69043,5619,0,0,65753,8909,0,0,0,0,0,0,0,0
27,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",7231,0,627859,570538,57321,305,0,537774,89162,0,12,163,42,52,277,377,0
28,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",8270,0,744572,680894,63678,406,0,636862,106466,0,14,206,58,55,374,537,0
29,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",69,0,311677,272188,39489,113,0,244051,67295,0,8,97,8,16,133,69,0
30,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,79435,72536,6899,0,0,68043,11392,0,0,0,0,0,0,0,0
31,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,74491,68718,5773,0,0,65378,9113,0,0,0,0,0,0,0,0
32,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",6446,0,687378,628517,58861,343,0,589373,96962,0,14,167,46,55,299,462,0
33,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,98167,90288,7879,0,0,84795,13372,0,0,0,0,0,0,0,0
34,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",574,0,295210,263180,32030,94,0,242255,52689,0,8,94,0,16,115,33,0
35,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,61003,56248,4755,0,0,53968,7035,0,0,0,0,0,0,0,0
36,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",65,0,106006,97395,8611,34,0,91039,14865,0,0,30,0,0,45,27,0
37,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",8502,0,747563,683656,63907,409,0,641489,104827,0,13,209,69,43,376,537,0
38,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,175338,158976,16362,0,0,145032,30306,0,0,0,0,0,0,0,0
39,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,77063,70846,6217,4,0,67011,10040,0,0,6,0,0,6,0,0
40,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",8582,0,854054,773741,80313,401,0,720092,132739,0,14,203,58,58,359,531,0
41,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,62127,57154,4973,0,0,54552,7575,0,0,0,0,0,0,0,0
42,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",8788,0,928911,849867,79044,435,0,792506,135076,0,14,227,58,56,405,569,0
43,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",28,0,94098,86486,7612,0,0,81222,12876,0,0,0,0,0,0,0,0
44,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",9644,1,992994,899041,93952,440,0,838239,153412,0,11,237,70,30,423,571,0
45,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,100730,92363,8367,13,0,86375,14316,0,0,12,0,0,15,12,0
46,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",223,0,109057,99503,9554,42,0,92056,16875,0,0,36,0,0,57,33,0
47,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",621,0,278704,247021,31683,46,0,226541,52041,0,8,49,0,16,49,0,0
48,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",417,0,304549,270299,34250,88,0,247320,56981,0,8,91,0,16,103,30,0
49,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",6211,0,610550,554608,55942,291,0,518607,91060,0,14,137,42,55,251,384,0
50,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",73,0,82314,76616,5698,3,0,73233,9072,0,0,3,0,0,3,3,0
51,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",7845,0,677380,614681,62699,330,0,576320,100060,0,14,158,46,57,286,439,0
52,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,67691,62214,5477,0,0,59075,8616,0,0,0,0,0,0,0,0
53,0,1200.000000000004,1200.000000000004,5,"[72, 65, 68, 66, 69]",0,0,70296,64480,5816,0,0,61061,9235,0,0,0,0,0,0,0,0
