#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 50
#T= 900
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4543,2280,2263,0,0,1795,2748,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,5041,3118,1923,0,0,2954,2087,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4831,2892,1939,0,0,2756,2075,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,6182,4012,2170,0,0,3672,2510,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,5605,3512,2093,0,0,3250,2355,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4868,2852,2016,0,0,2620,2248,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4816,2842,1974,0,0,2661,2155,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",2,1,14324,3346,10977,5,0,3124,11194,0,5,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",16,1,18662,3914,14747,8,0,3625,15028,0,8,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,5014,3074,1940,0,0,2918,2096,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",4,1,6372,3284,3087,4,0,3110,3257,0,4,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,6018,3946,2072,0,0,3673,2345,0,0,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4644,2706,1938,0,0,2552,2092,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",12,2,14438,4680,9756,18,0,4342,10076,0,18,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,5116,3020,2096,0,0,2742,2374,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,20,"[57, 46, 17, 65, 20, 36, 62, 34, 37, 50, 42, 32, 26, 27, 64, 53, 63, 56, 41, 44]",0,0,4802,2842,1960,0,0,2650,2152,0,0,0,0,0,0,0,0
