#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 50
#T= 1200
#K_GROUP= 5
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",329,2,56164,16555,39607,23,0,14190,41943,0,19,7,0,3,0,0,0
2,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",39,0,9901,6135,3766,2,0,4718,5179,0,2,1,0,1,0,0,0
3,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",201,1,38245,18841,19403,19,0,14593,23622,0,14,5,0,6,4,0,0
4,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",28,1,20288,7225,13062,5,0,5834,14446,0,4,0,3,0,0,0,0
5,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",679,3,92504,24604,67897,49,0,21874,70554,0,31,25,0,8,9,0,0
6,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",198,2,28257,10292,17963,8,0,8587,19660,0,8,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",48,0,7260,4208,3052,0,0,3490,3770,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",54,1,25144,11252,13891,8,0,8311,16820,0,6,1,0,4,1,0,0
9,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",212,1,25612,8854,16757,8,0,6774,18825,0,6,1,0,4,1,0,0
10,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",203,1,27325,12206,15118,9,0,9733,17576,0,6,1,3,4,1,0,0
11,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",53,0,5691,3033,2658,0,0,2742,2949,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",0,0,7058,4004,3054,0,0,3323,3735,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",514,2,41666,14092,27572,17,0,10551,31090,0,17,2,1,3,0,0,0
14,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",0,0,8687,4952,3735,0,0,3558,5129,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",644,2,62145,23817,38326,26,0,20611,41496,0,21,7,1,4,3,0,0
16,0,1200.000000000004,1200.000000000004,30,"[43, 51, 53, 33, 64, 23, 34, 37, 39, 41, 52, 25, 17, 22, 56, 18, 49, 28, 38, 42, 36, 31, 27, 63, 46, 48, 44, 65, 57, 32]",188,0,27258,16366,10892,11,0,11927,15314,0,9,2,0,5,1,0,0
