#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,69950,66154,3796,0,0,64743,5207,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,49926,45880,4046,0,0,44260,5666,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,36000,31420,4580,0,0,29230,6770,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,76463,72492,3971,0,0,70919,5544,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,77874,73742,4132,0,0,72021,5853,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,64937,60964,3973,0,0,59392,5545,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,51715,48010,3705,0,0,46687,5028,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",4,3,77327,60815,16509,16,0,59491,17815,0,14,3,0,1,0,0,0
9,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",11,0,81372,77177,4195,0,0,75376,5996,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,21,"[65, 80, 97, 77, 92, 82, 91, 95, 104, 74, 69, 76, 90, 113, 70, 67, 96, 105, 87, 79, 88]",0,0,75211,71144,4067,0,0,69477,5734,0,0,0,0,0,0,0,0
