#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 1800
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1800.0001126540562
#SIMULATION_SPEED= 1800.0001126540562
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",737,6,235591,23101,212484,90,0,19737,215696,0,46,52,3,15,30,6,0
2,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",0,0,6519,2758,3761,0,0,2573,3946,0,0,0,0,0,0,0,0
3,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",184,3,95211,26097,69111,30,0,21844,73316,0,23,10,1,9,4,1,0
4,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",715,3,118791,26485,92303,54,0,20885,97803,0,31,32,3,21,13,0,0
5,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",206,1,46654,13944,32709,24,0,10063,36550,0,18,12,0,6,4,0,0
6,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",679,3,119154,33663,85488,94,0,26516,92439,0,56,58,15,28,33,6,0
7,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",1,1,14589,5721,8867,4,0,4320,10264,0,4,0,0,0,0,0,0
8,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",709,1,109415,33858,75556,80,0,26834,82402,0,31,68,24,21,30,4,0
9,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",451,4,72856,17826,55026,19,0,14115,58716,0,18,0,3,0,0,0,0
10,0,1800.0001126540562,1800.0001126540562,73,"[53, 54, 51, 55, 18, 22, 21, 67, 66, 63, 62, 56, 65, 104, 44, 52, 74, 111, 17, 110, 115, 93, 112, 48, 94, 91, 92, 88, 78, 42, 77, 37, 28, 33, 71, 36, 76, 84, 97, 59, 20, 25, 27, 86, 57, 19, 68, 60, 85, 83, 95, 34, 79, 39, 80, 81, 82, 87, 113, 23, 101, 69, 38, 32, 72, 64, 109, 49, 61, 89, 103, 26, 116]",158,0,51531,17865,33666,27,0,12672,38804,0,18,14,3,14,5,1,0
