#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 50
#T= 900
#K_GROUP= 5
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",7,3,26686,7699,18984,17,0,6692,19968,0,16,3,0,1,0,3,0
2,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",116,1,12755,4462,8292,4,0,3787,8963,0,4,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",66,0,9466,5680,3786,9,0,4638,4815,0,9,2,0,2,0,0,0
4,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",126,1,14546,3960,10585,5,0,3429,11111,0,5,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",0,0,4102,2010,2092,0,0,1686,2416,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",56,1,8802,3821,4980,5,0,3403,5391,0,4,0,3,0,0,0,0
7,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",404,2,14532,4693,9837,16,0,3831,10679,0,15,1,0,3,0,1,0
8,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",0,0,4730,2742,1988,0,0,2560,2170,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",56,1,14776,6094,8681,13,0,5388,9370,0,9,6,0,2,0,0,0
10,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",0,0,4830,2808,2022,0,0,2625,2205,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",34,1,14180,4346,9833,5,0,3982,10192,0,5,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",116,4,32899,4950,27945,18,0,4431,28446,0,18,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",1,1,10651,4791,5859,6,0,4249,6393,0,6,0,1,1,0,0,0
14,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",0,0,4845,2826,2019,0,0,2614,2231,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",65,1,12830,3899,8930,4,0,3513,9312,0,4,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,25,"[29, 32, 34, 52, 55, 35, 31, 42, 39, 40, 17, 22, 21, 54, 58, 45, 57, 51, 27, 47, 37, 61, 63, 53, 56]",0,0,4813,2810,2003,0,0,2616,2197,0,0,0,0,0,0,0,0
