#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5349,2678,2671,0,0,2436,2913,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,6295,3636,2659,0,0,3364,2931,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5625,3022,2603,0,0,2834,2791,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5094,2516,2578,0,0,2321,2773,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5054,2460,2594,0,0,2285,2769,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5256,2620,2636,0,0,2384,2872,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5145,2548,2597,0,0,2342,2803,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5580,2912,2668,0,0,2626,2954,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,2,"[17, 19]",1,1,14837,2967,11869,4,0,2793,12039,0,4,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,2,"[17, 19]",103,1,17771,3835,13935,4,0,3528,14238,0,4,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5127,2586,2541,0,0,2437,2690,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5581,2900,2681,0,0,2694,2887,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,6693,3928,2765,0,0,3536,3157,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,4395,1760,2635,0,0,1573,2822,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,5040,2502,2538,0,0,2314,2726,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,2,"[17, 19]",0,0,6570,3812,2758,0,0,3465,3105,0,0,0,0,0,0,0,0
