#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 900
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",2,1,5686,2766,2919,5,0,2565,3115,0,5,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",417,4,40372,12978,27390,29,0,11022,29309,0,32,3,1,1,0,0,0
3,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",69,1,19087,8107,10979,6,0,5843,13235,0,6,1,0,1,0,0,0
4,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",374,3,23638,8108,15527,23,0,6359,17249,0,23,2,0,2,0,0,0
5,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",56,0,6080,3334,2746,0,0,2328,3752,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",0,0,5131,2990,2141,0,0,2657,2474,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",247,9,77344,16141,61194,70,0,14762,62481,0,58,21,2,8,3,0,0
8,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",1,1,4980,2797,2182,4,0,2576,2399,0,4,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",258,2,46172,14612,31558,30,0,12191,33927,0,41,5,3,3,0,0,0
10,0,900.0000000001361,900.0000000001361,63,"[87, 41, 45, 51, 43, 79, 71, 89, 108, 114, 88, 50, 26, 103, 98, 81, 85, 78, 107, 53, 39, 63, 30, 92, 33, 80, 60, 52, 77, 17, 49, 115, 99, 94, 38, 62, 69, 23, 24, 47, 18, 70, 86, 84, 22, 21, 19, 29, 55, 113, 90, 109, 34, 112, 96, 97, 44, 59, 100, 105, 28, 42, 32]",1,1,8655,3936,4718,5,0,3366,5281,0,4,0,3,0,0,0,0
