#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 900
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",47,6,60556,17163,43387,41,0,14381,46112,0,30,12,6,3,6,0,0
2,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",603,5,52012,15271,36736,21,0,12274,39712,0,21,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",109,1,17255,6353,10901,4,0,5200,12050,0,4,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",112,1,20964,9538,11425,4,0,7428,13531,0,4,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",634,3,44862,13051,31808,36,0,10795,34014,0,28,10,1,5,6,0,0
6,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",0,0,3767,1828,1939,0,0,1682,2085,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",0,0,4928,2934,1994,0,0,2742,2186,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",378,1,27213,9608,17604,20,0,7717,19463,0,17,5,3,6,1,0,0
9,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",400,4,39032,5874,33154,21,0,5144,33863,0,21,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",0,0,5003,2964,2039,0,0,2775,2228,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",6,1,49328,16912,32415,38,0,13697,35554,0,16,30,3,13,14,0,0
12,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",287,3,67859,24974,42882,59,0,20759,47004,0,49,12,3,25,4,0,0
13,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",0,0,4851,2926,1925,0,0,2798,2053,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",70,2,23502,9382,14118,10,0,7426,16062,0,10,1,0,1,0,0,0
15,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",196,1,8355,4248,4106,4,0,3398,4952,0,4,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,54,"[43, 49, 88, 42, 79, 71, 17, 108, 62, 89, 65, 32, 113, 116, 48, 45, 87, 54, 50, 41, 86, 53, 107, 68, 78, 55, 58, 61, 100, 69, 35, 40, 67, 81, 84, 85, 51, 82, 99, 98, 112, 105, 57, 96, 33, 106, 39, 95, 47, 114, 91, 30, 22, 64]",225,0,25732,14881,10851,15,0,11264,14445,0,15,2,0,5,1,0,0
