#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",0,0,7289,4200,3089,0,0,3509,3780,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",82,1,37797,9400,28396,63,0,8004,29665,0,57,23,3,31,13,0,0
3,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",66,1,11852,4276,7575,5,0,3489,8357,0,5,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",51,1,43165,6500,36664,60,0,5612,37434,0,55,27,0,14,22,0,0
5,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",0,0,6820,3852,2968,0,0,3249,3571,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",7,1,24201,7193,17007,10,0,6385,17805,0,10,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",0,0,9292,5488,3804,0,0,4092,5200,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",0,0,8051,4536,3515,0,0,3395,4656,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",238,1,31036,6482,24553,22,0,5289,25716,0,20,2,1,6,1,0,0
10,0,1200.000000000004,1200.000000000004,59,"[22, 110, 92, 105, 17, 50, 67, 81, 78, 59, 33, 28, 98, 101, 96, 39, 116, 115, 99, 95, 31, 112, 29, 61, 43, 57, 21, 51, 89, 80, 111, 56, 70, 63, 85, 46, 68, 23, 97, 104, 91, 49, 93, 74, 44, 114, 42, 109, 24, 75, 54, 84, 47, 76, 69, 107, 66, 100, 77]",0,0,5924,3134,2790,0,0,2779,3145,0,0,0,0,0,0,0,0
