#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 50
#T= 900
#K_GROUP= 5
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",1,0,10546,4729,5817,10,0,4048,6478,0,6,3,0,9,2,0,0
2,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",81,3,29299,3803,25493,18,0,3495,25783,0,18,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",1,0,4956,2959,1997,0,0,2752,2204,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",0,0,4549,2588,1961,0,0,2398,2151,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",1,1,13718,3935,9782,4,0,3583,10130,0,4,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",0,0,4703,2686,2017,0,0,2456,2247,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",2,1,8645,2964,5680,4,0,2688,5952,0,4,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",275,3,31523,6345,25175,24,0,5535,25955,0,20,6,1,3,0,0,0
9,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",179,2,18021,4871,13148,11,0,4031,13977,0,11,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",100,0,5043,2938,2105,0,0,2524,2519,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",0,0,5010,3050,1960,0,0,2886,2124,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",9,0,5221,3027,2194,0,0,2642,2579,0,0,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",62,1,25283,6084,19198,17,0,5336,19919,0,11,7,0,3,6,0,0
14,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",0,0,4519,2582,1937,0,0,2448,2071,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",0,0,4574,2572,2002,0,0,2353,2221,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,22,"[43, 36, 48, 38, 46, 39, 40, 63, 17, 27, 59, 61, 58, 51, 20, 50, 32, 64, 65, 23, 49, 29]",1,1,5138,2160,2977,5,0,1761,3369,0,4,0,3,0,0,0,0
