#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,74989,69318,5671,0,0,66041,8948,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,71258,66714,4544,0,0,64616,6642,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,57158,53770,3388,0,0,52746,4412,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",54,2,108806,84083,24721,13,0,80877,27908,0,10,0,9,0,0,0,0
5,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,77646,72480,5166,0,0,69735,7911,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,165896,133653,32243,41,0,114734,51067,0,16,28,1,26,24,0,0
7,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,80407,75544,4863,0,0,73048,7359,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",35,0,56420,52641,3779,0,0,51229,5191,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,53850,50062,3788,0,0,48691,5159,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,36,"[70, 87, 95, 114, 65, 83, 105, 86, 104, 113, 99, 100, 67, 101, 91, 79, 71, 82, 103, 90, 74, 96, 72, 76, 108, 106, 84, 112, 107, 88, 94, 81, 69, 66, 93, 80]",0,0,52969,49384,3585,0,0,48234,4735,0,0,0,0,0,0,0,0
