#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 900
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,5150,3072,2078,0,0,2867,2283,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,7092,4606,2486,0,0,3911,3181,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",1,1,5021,2955,2065,4,0,2804,2212,0,4,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4746,2744,2002,0,0,2554,2192,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4523,2596,1927,0,0,2449,2074,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4739,2744,1995,0,0,2553,2186,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",123,1,85628,12290,73337,75,0,10389,75087,0,54,44,3,14,33,3,0
8,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4694,2744,1950,0,0,2568,2126,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4730,2744,1986,0,0,2559,2171,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4357,2156,2201,0,0,1761,2596,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4708,2756,1952,0,0,2619,2089,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",16,1,61170,12413,48756,70,0,9726,51297,0,63,20,1,50,11,1,0
13,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,5628,3498,2130,0,0,3156,2472,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",48,1,9240,3370,5869,5,0,3037,6197,0,5,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",0,0,4967,2892,2075,0,0,2616,2351,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,28,"[80, 104, 30, 21, 38, 54, 46, 39, 112, 90, 53, 20, 97, 34, 86, 63, 40, 89, 59, 88, 17, 96, 70, 23, 52, 47, 75, 55]",4,1,17197,3676,13520,7,0,3485,13704,0,7,0,0,0,0,0,0
