#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 1800
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1800.0004012796016
#SIMULATION_SPEED= 1800.0004012796016
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,7118,3276,3842,0,0,2987,4131,0,0,0,0,0,0,0,0
2,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,7648,3756,3892,0,0,3437,4211,0,0,0,0,0,0,0,0
3,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",71,0,10092,4247,5845,23,0,3381,6686,0,23,1,0,1,0,0,0
4,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",6,1,9048,3242,5805,6,0,2838,6199,0,4,0,6,0,0,0,0
5,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",7,1,8896,3013,5882,4,0,2647,6244,0,4,0,0,0,0,0,0
6,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,7626,3460,4166,0,0,2916,4710,0,0,0,0,0,0,0,0
7,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",2,1,27399,4560,22838,5,0,3940,23453,0,5,0,0,0,0,0,0
8,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",39,3,63335,8973,54359,22,0,8146,55164,0,22,0,0,0,0,0,0
9,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",10,1,15773,6950,8822,8,0,5363,10397,0,8,0,2,2,0,0,0
10,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,7057,3198,3859,0,0,2940,4117,0,0,0,0,0,0,0,0
11,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",9,1,46763,5887,40875,11,0,5333,41418,0,11,0,0,0,0,0,0
12,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,6450,2690,3760,0,0,2484,3966,0,0,0,0,0,0,0,0
13,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",40,3,44944,4776,40165,19,0,4448,40474,0,19,0,0,0,0,0,0
14,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",1,1,42227,6982,35244,9,0,5742,36473,0,7,3,0,1,0,0,0
15,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,7094,2764,4330,0,0,2062,5032,0,0,0,0,0,0,0,0
16,0,1800.0004012796016,1800.0004012796016,55,"[83, 95, 94, 43, 101, 21, 113, 22, 57, 104, 63, 46, 105, 17, 111, 96, 87, 48, 36, 71, 50, 109, 26, 34, 78, 41, 106, 70, 38, 100, 39, 99, 90, 86, 115, 23, 116, 68, 27, 29, 18, 103, 49, 59, 30, 93, 74, 62, 76, 47, 114, 33, 37, 75, 53]",0,0,9881,5250,4631,0,0,4237,5644,0,0,0,0,0,0,0,0
