#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,7363,4470,2893,0,0,3969,3394,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,6432,3656,2776,0,0,3356,3076,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,7235,4440,2795,0,0,4095,3140,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",2,1,12283,3146,9136,5,0,2910,9367,0,5,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",47,1,10955,3925,7029,4,0,3607,7343,0,4,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,6202,3542,2660,0,0,3275,2927,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,4024,1534,2490,0,0,1431,2593,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,5665,3032,2633,0,0,2810,2855,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,6498,3784,2714,0,0,3480,3018,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,6253,3648,2605,0,0,3428,2825,0,0,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,5735,3086,2649,0,0,2844,2891,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,7034,4264,2770,0,0,3916,3118,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,5599,2978,2621,0,0,2768,2831,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,5813,3240,2573,0,0,3049,2764,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,5452,2832,2620,0,0,2651,2801,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,3,"[20, 19, 17]",0,0,6133,3520,2613,0,0,3311,2822,0,0,0,0,0,0,0,0
