#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 900
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",85,3,27532,8337,19192,20,0,7089,20416,0,17,3,0,1,0,3,0
2,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",167,3,26371,6067,20301,12,0,5179,21177,0,12,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",359,3,113579,13868,99708,102,0,12649,100735,0,39,75,9,18,48,3,0
4,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",7,2,12534,6325,6207,13,0,4952,7567,0,13,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",55,0,42032,11189,30843,90,0,8867,32983,0,56,25,3,80,16,2,0
6,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",57,1,11674,3403,8270,5,0,2978,8690,0,5,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",110,2,26622,6946,19674,9,0,5837,20774,0,9,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",345,3,22867,5241,17623,15,0,4203,18646,0,15,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",17,3,30656,11317,19336,12,0,9608,21033,0,12,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,51,"[43, 51, 79, 45, 87, 41, 46, 53, 39, 108, 33, 106, 59, 55, 71, 113, 98, 25, 24, 17, 50, 30, 114, 83, 88, 49, 29, 89, 62, 109, 28, 26, 20, 38, 31, 36, 78, 66, 67, 35, 44, 54, 47, 52, 34, 116, 48, 99, 91, 96, 92]",222,1,17590,6612,10977,5,0,5259,12325,0,5,0,0,0,0,0,0
