#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 16
#T= 900
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,5178,3178,2000,0,0,2950,2228,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4641,2664,1977,0,0,2484,2157,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,5195,3224,1971,0,0,3046,2149,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4640,2666,1974,0,0,2496,2144,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",165,1,71102,11435,59666,88,0,10178,60723,0,21,96,12,11,60,0,0
6,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,5429,3056,2373,0,0,2488,2941,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",136,0,34038,12562,21476,82,0,9787,24057,0,36,64,6,48,40,0,0
8,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,5770,3564,2206,0,0,3173,2597,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4588,2630,1958,0,0,2464,2124,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4663,2716,1947,0,0,2537,2126,0,0,0,0,0,0,0,0
11,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",3,1,18648,4345,14302,6,0,3928,14713,0,6,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4593,2620,1973,0,0,2432,2161,0,0,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4668,2716,1952,0,0,2534,2134,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4692,2762,1930,0,0,2632,2060,0,0,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,34852,13384,21468,82,0,10579,24079,0,36,64,6,48,40,0,0
16,0,900.0000000001361,900.0000000001361,9,"[25, 22, 32, 30, 26, 19, 28, 21, 17]",0,0,4678,2748,1930,0,0,2618,2060,0,0,0,0,0,0,0,0
