#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 16
#K= 100
#T= 900
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",3,1,11213,5889,5323,5,0,4851,6356,0,5,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,4895,2948,1947,0,0,2811,2084,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",62,1,7105,3458,3646,5,0,3091,4008,0,5,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",207,3,25116,5613,19500,12,0,4818,20283,0,12,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,5767,3514,2253,0,0,3052,2715,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,5841,3686,2155,0,0,3332,2509,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,5331,2856,2475,0,0,2158,3173,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",167,1,19492,6071,13420,10,0,5177,14302,0,10,1,0,1,0,0,0
9,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",150,1,29571,8330,21240,15,0,7088,22457,0,21,1,1,2,0,0,0
10,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",10,1,25192,10563,14628,6,0,7996,17171,0,19,3,2,0,0,0,0
11,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",7,4,29406,4813,24589,18,0,4188,25196,0,18,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",26,1,6272,3054,3217,4,0,2854,3413,0,4,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,4898,2898,2000,0,0,2710,2188,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",178,2,11512,4006,7504,8,0,3525,7977,0,8,0,0,0,0,0,0
15,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",0,0,4881,2894,1987,0,0,2709,2172,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,41,"[87, 51, 45, 43, 41, 79, 71, 30, 17, 84, 85, 82, 40, 98, 110, 114, 108, 89, 88, 115, 47, 93, 92, 97, 116, 109, 69, 26, 24, 21, 94, 99, 90, 96, 33, 22, 113, 50, 100, 60, 59]",394,7,60089,11655,48427,40,0,10549,49491,0,38,3,0,1,0,0,0
