#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,79957,75828,4129,0,0,74121,5836,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",51,1,129091,98045,31045,17,0,94918,34153,0,17,1,0,1,0,0,0
3,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",3,0,76983,72967,4016,0,0,71352,5631,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,50908,47266,3642,0,0,46021,4887,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,50846,47300,3546,0,0,46142,4704,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,72503,68108,4395,0,0,66146,6357,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,49669,46222,3447,0,0,45180,4489,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,72373,67926,4447,0,0,65895,6478,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,71570,67346,4224,0,0,65522,6048,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",98,1,77889,71044,6844,5,0,69290,8593,0,5,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,78511,74424,4087,0,0,72739,5772,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",1,0,80792,76127,4665,0,0,73884,6908,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,49446,46012,3434,0,0,45016,4430,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",0,0,71484,67474,4010,0,0,65845,5639,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,34,"[87, 112, 99, 83, 91, 70, 65, 84, 108, 71, 78, 86, 100, 77, 101, 113, 79, 88, 95, 96, 92, 82, 97, 94, 67, 93, 72, 106, 107, 105, 104, 81, 90, 74]",2,1,114463,93170,21292,8,0,89146,25304,0,5,6,0,1,0,0,0
