#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 1200
#K_GROUP= 1
#AREA= 200
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",93,1,73113,50496,22616,15,0,46131,26952,0,6,9,3,2,3,6,0
2,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",215,1,42773,26615,16157,8,0,23719,19041,0,5,6,0,1,0,0,0
3,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",0,0,26126,21640,4486,0,0,19516,6610,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",3,0,20697,16815,3882,0,0,15352,5345,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",0,0,23265,19226,4039,0,0,17579,5686,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",199,0,27881,23117,4764,0,0,20549,7332,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",79,0,38394,31449,6945,0,0,26830,11564,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",47,0,42224,33657,8567,6,0,29205,13005,0,4,2,2,5,1,0,0
9,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",10,0,22867,18690,4177,0,0,16898,5969,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",238,0,67109,49312,17797,11,0,42975,24113,0,11,2,0,6,0,2,0
11,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",137,0,33117,27417,5700,0,0,23978,9139,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",374,1,46362,31005,15356,5,0,27711,18643,0,4,0,3,0,0,0,0
13,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",2,0,32131,25800,6331,0,0,21896,10235,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",2,0,42433,35150,7283,0,0,30283,12150,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",4,0,30588,25150,5438,0,0,22083,8505,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",126,1,86500,63320,23179,9,0,56203,30279,0,5,6,0,2,0,4,0
17,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",202,1,58208,36620,21587,8,0,33451,24746,0,8,0,1,1,0,0,0
18,0,1200.000000000004,1200.000000000004,14,"[42, 35, 46, 33, 41, 45, 38, 37, 34, 43, 47, 36, 44, 40]",59,1,66021,42410,23610,15,0,38084,27901,0,16,9,1,3,0,6,0
