#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",123,2,88398,51536,36860,14,0,46013,42367,0,12,3,0,1,0,0,0
2,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,37414,30556,6858,0,0,26124,11290,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",95,0,73596,56227,17369,16,0,45586,27978,0,12,5,1,12,2,0,0
4,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,15916,12664,3252,0,0,11853,4063,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,15347,12258,3089,0,0,11599,3748,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,57581,43234,14347,10,0,31289,26272,0,10,5,0,5,0,0,0
7,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,21550,16694,4856,0,0,14179,7371,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",1,0,18738,15421,3317,0,0,14497,4241,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,98076,61128,36948,62,0,49494,48436,0,20,40,0,42,40,4,0
10,0,1200.000000000004,1200.000000000004,19,"[40, 57, 61, 47, 54, 33, 39, 81, 82, 48, 45, 59, 42, 64, 46, 68, 63, 58, 65]",0,0,16385,13136,3249,0,0,12281,4104,0,0,0,0,0,0,0,0
