#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 16
#T= 900
#K_GROUP= 5
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",0,0,24984,21332,3652,0,0,19498,5486,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",119,1,44667,28705,15961,12,0,26108,18536,0,7,7,0,4,0,4,0
3,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",218,1,42665,25547,17117,13,0,23310,19335,0,10,1,3,4,1,0,0
4,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",258,0,24645,20922,3723,2,0,18754,5887,0,2,1,0,1,0,0,0
5,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",55,0,17134,14461,2673,0,0,13582,3552,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",144,0,18333,15436,2897,0,0,14199,4134,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",154,1,40030,22370,17659,10,0,20974,19041,0,7,6,0,1,0,0,0
8,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",314,0,28170,23412,4758,0,0,20150,8020,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",0,0,24081,19998,4083,2,0,17690,6387,0,2,1,0,1,0,0,0
10,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",574,2,63569,25376,38191,29,0,23687,39831,0,19,12,1,7,6,4,0
11,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",54,3,64596,28466,36127,39,0,26568,37968,0,26,15,4,6,3,3,0
12,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",38,0,14079,11710,2369,0,0,11113,2966,0,0,0,0,0,0,0,0
13,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",58,0,17990,14112,3878,0,0,11951,6039,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",0,0,29946,24072,5874,10,0,21638,8288,0,8,3,1,7,1,0,0
15,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",32,0,16007,13282,2725,0,0,12330,3677,0,0,0,0,0,0,0,0
16,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",0,0,23627,20328,3299,0,0,18804,4823,0,0,0,0,0,0,0,0
17,0,900.0000000001361,900.0000000001361,15,"[43, 44, 38, 46, 39, 42, 48, 33, 37, 45, 47, 34, 41, 36, 35]",0,0,16988,13996,2992,0,0,12837,4151,0,0,0,0,0,0,0,0
