#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 900
#K_GROUP= 5
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",40,0,89777,79374,10403,12,0,76436,13317,0,8,8,0,2,3,3,0
2,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",26,0,49842,46164,3678,0,0,44252,5590,0,0,0,0,0,0,0,0
3,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",164,0,69863,66170,3693,0,0,64169,5694,0,0,0,0,0,0,0,0
4,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",38,0,60431,57534,2897,0,0,56397,4034,0,0,0,0,0,0,0,0
5,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,62169,59068,3101,0,0,57778,4391,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,70750,67210,3540,0,0,65481,5269,0,0,0,0,0,0,0,0
7,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,28534,25574,2960,0,0,24368,4166,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,69898,66796,3102,0,0,65490,4408,0,0,0,0,0,0,0,0
9,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",56,0,69200,65888,3312,0,0,64326,4874,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",72,0,80304,75943,4361,3,0,73291,7006,0,2,4,0,1,0,0,0
11,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,57413,54336,3077,0,0,53080,4333,0,0,0,0,0,0,0,0
12,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",31,1,78059,72764,5294,5,0,70854,7197,0,4,0,3,0,0,0,0
13,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,52653,49974,2679,0,0,49095,3558,0,0,0,0,0,0,0,0
14,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",2,1,90059,81253,8805,6,0,78528,11522,0,5,0,3,0,0,0,0
15,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,63181,59572,3609,0,0,57790,5391,0,0,0,0,0,0,0,0
