#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 50
#T= 1200
#K_GROUP= 5
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",106,1,84165,59652,24512,45,0,51181,32886,0,24,23,15,22,4,9,0
2,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",352,1,52996,34629,18366,9,0,29076,23904,0,8,1,1,4,0,1,0
3,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",55,0,27347,22483,4864,0,0,19964,7383,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",0,0,21675,17222,4453,2,0,15138,6533,0,2,1,0,1,0,0,0
5,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",90,0,28862,22438,6424,2,0,18373,10483,0,0,0,0,2,3,1,0
6,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",59,0,94499,62118,32381,52,0,52504,41875,0,32,37,3,18,18,12,0
7,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",36,0,29982,24732,5250,0,0,21854,8128,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",369,2,163930,75199,88729,58,0,70210,93618,0,31,30,0,11,18,10,0
9,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",328,3,74752,48153,26596,14,0,41500,33233,0,12,3,0,1,0,0,0
10,0,1200.000000000004,1200.000000000004,45,"[69, 78, 76, 80, 79, 67, 43, 46, 54, 33, 37, 42, 73, 59, 75, 70, 72, 74, 45, 44, 41, 39, 49, 53, 50, 62, 61, 82, 63, 35, 55, 34, 58, 40, 60, 71, 36, 38, 81, 57, 48, 51, 56, 47, 64]",17,0,85583,59221,26362,51,0,50936,34542,0,26,36,6,21,11,5,0
