#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 8
#T= 1800
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1800.009999998508
#SIMULATION_SPEED= 1800.009999998508
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,22851,16924,5927,0,0,14546,8305,0,0,0,0,0,0,0,0
2,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,21330,16208,5122,0,0,14667,6663,0,0,0,0,0,0,0,0
3,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,16963,12554,4409,0,0,11706,5257,0,0,0,0,0,0,0,0
4,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,20084,15154,4930,0,0,13837,6247,0,0,0,0,0,0,0,0
5,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",104,0,22754,17824,4930,0,0,16412,6342,0,0,0,0,0,0,0,0
6,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,25454,20162,5292,0,0,18464,6990,0,0,0,0,0,0,0,0
7,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,20101,15056,5045,0,0,13638,6463,0,0,0,0,0,0,0,0
8,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,18474,13738,4736,0,0,12634,5840,0,0,0,0,0,0,0,0
9,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",1,1,24650,17241,7408,4,0,15719,8926,0,4,0,0,0,0,0,0
10,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,20903,16096,4807,0,0,14955,5948,0,0,0,0,0,0,0,0
11,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",46,0,23053,18184,4869,0,0,16879,6174,0,0,0,0,0,0,0,0
12,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",64,0,28588,22730,5858,0,0,20443,8145,0,0,0,0,0,0,0,0
13,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,27147,21346,5801,0,0,19140,8007,0,0,0,0,0,0,0,0
14,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,20344,15678,4666,0,0,14552,5792,0,0,0,0,0,0,0,0
15,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",44,0,19724,14812,4912,0,0,13462,6262,0,0,0,0,0,0,0,0
16,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,27118,21554,5564,0,0,19678,7440,0,0,0,0,0,0,0,0
17,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",64,0,21310,16636,4674,0,0,15525,5785,0,0,0,0,0,0,0,0
18,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,26293,20670,5623,0,0,18650,7643,0,0,0,0,0,0,0,0
19,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,21583,16298,5285,0,0,14593,6990,0,0,0,0,0,0,0,0
20,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,18937,14274,4663,0,0,13177,5760,0,0,0,0,0,0,0,0
21,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,21834,16686,5148,0,0,15131,6703,0,0,0,0,0,0,0,0
22,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",1,1,46715,24555,22159,4,0,23015,23695,0,4,0,0,0,0,0,0
23,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",2,0,25020,19862,5158,0,0,18305,6715,0,0,0,0,0,0,0,0
24,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,18832,14150,4682,0,0,13001,5831,0,0,0,0,0,0,0,0
25,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",44,1,41451,23118,18332,4,0,21705,19741,0,4,0,0,0,0,0,0
26,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",43,0,23623,18387,5236,0,0,16698,6925,0,0,0,0,0,0,0,0
27,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",1,0,26932,21275,5657,0,0,19210,7722,0,0,0,0,0,0,0,0
28,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,19962,15356,4606,0,0,14333,5629,0,0,0,0,0,0,0,0
29,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,23924,18786,5138,0,0,17242,6682,0,0,0,0,0,0,0,0
30,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",2,1,24418,16698,7719,4,0,15452,8961,0,4,0,0,0,0,0,0
31,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,24199,18048,6151,0,0,15541,8658,0,0,0,0,0,0,0,0
32,0,1800.009999998508,1800.009999998508,4,"[39, 33, 37, 36]",0,0,20952,15932,5020,0,0,14436,6516,0,0,0,0,0,0,0,0
