#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,24988,20610,4378,0,0,18631,6357,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,18195,14704,3491,0,0,13588,4607,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",109,1,54939,37358,17580,5,0,31873,23058,0,4,0,3,0,0,0,0
4,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,15432,12326,3106,0,0,11639,3793,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,16467,13192,3275,0,0,12346,4121,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,36576,29150,7426,2,0,24080,12492,0,2,1,0,1,0,0,0
7,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,17395,14090,3305,0,0,13223,4172,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",1,0,25207,20277,4930,0,0,17749,7458,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,19773,16404,3369,0,0,15445,4328,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",64,2,64169,31540,32627,24,0,29325,34806,0,18,9,2,4,3,0,0
11,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",106,1,46278,28760,17517,9,0,25525,20737,0,7,0,7,1,0,0,0
12,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,20223,16494,3729,0,0,15128,5095,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,18603,15181,3422,3,0,14162,4432,0,0,6,0,0,3,0,0
14,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,20011,16214,3797,0,0,14820,5191,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,17703,14378,3325,0,0,13426,4277,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",39,0,16903,13623,3280,0,0,12745,4158,0,0,0,0,0,0,0,0
17,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",174,3,156802,66758,90041,95,0,62630,93962,0,28,90,3,11,66,9,0
18,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,88995,57627,31368,47,0,44803,44083,0,18,33,0,30,28,0,0
19,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,30097,24654,5443,10,0,21626,8441,0,0,18,0,0,12,0,0
20,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,20451,15528,4923,0,0,12964,7487,0,0,0,0,0,0,0,0
21,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",4,0,29699,21461,8238,11,0,18614,11066,0,8,2,3,5,1,0,0
22,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,18990,15558,3432,0,0,14576,4414,0,0,0,0,0,0,0,0
23,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",31,1,27758,21275,6482,5,0,19584,8168,0,5,0,0,0,0,0,0
24,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,60741,33941,26800,59,0,30008,30594,0,20,40,0,39,36,4,0
25,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,18581,15154,3427,0,0,14114,4467,0,0,0,0,0,0,0,0
26,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,27020,22062,4958,0,0,19484,7536,0,0,0,0,0,0,0,0
27,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,18851,15638,3213,10,0,14798,4033,0,10,4,1,5,0,0,0
28,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,28059,22628,5431,0,0,19612,8447,0,0,0,0,0,0,0,0
29,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,57189,36187,21002,45,0,31254,25828,0,16,31,1,30,24,5,0
30,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,24248,19472,4776,0,0,17101,7147,0,0,0,0,0,0,0,0
31,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,24894,20516,4378,0,0,18530,6364,0,0,0,0,0,0,0,0
32,0,1200.000000000004,1200.000000000004,17,"[40, 61, 47, 54, 57, 33, 39, 64, 68, 81, 48, 58, 59, 63, 46, 82, 65]",0,0,23740,19116,4624,0,0,16889,6851,0,0,0,0,0,0,0,0
