#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",74,0,18355,14920,3435,0,0,13802,4553,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",1,0,37235,30107,7128,10,0,25384,11821,0,0,12,0,0,12,6,0
3,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",105,1,142643,59860,82782,83,0,55646,86809,0,20,81,8,12,54,12,0
4,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,26436,21982,4454,0,0,19925,6511,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,23229,18692,4537,0,0,16582,6647,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",128,1,61041,35227,25813,25,0,30809,30186,0,21,8,7,6,3,0,0
7,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",102,1,25612,15986,9625,4,0,14445,11162,0,4,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,19631,16076,3555,0,0,14927,4704,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",30,0,71964,45638,26326,62,0,40131,31687,0,24,40,2,40,35,5,0
10,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",26,0,35967,29030,6937,4,0,25702,10257,0,2,1,0,4,1,0,0
11,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,22658,18756,3902,0,0,17259,5399,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,31525,26136,5389,0,0,23178,8347,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",59,1,34044,24793,9250,5,0,22766,11272,0,5,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,21526,17448,4078,0,0,15773,5753,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,18266,14924,3342,0,0,13963,4303,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",0,0,35520,28539,6981,19,0,25374,10093,0,2,22,0,4,22,3,0
17,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",48,1,25371,20149,5221,14,0,18114,7232,0,8,15,0,1,0,0,0
18,0,1200.000000000004,1200.000000000004,24,"[61, 40, 57, 54, 47, 33, 68, 39, 73, 48, 65, 63, 44, 42, 81, 64, 35, 80, 53, 46, 58, 59, 45, 69]",60,2,71078,41766,29310,17,0,37649,33398,0,10,3,9,1,6,0,0
