#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 100
#T= 900
#K_GROUP= 10
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",0,0,18050,15396,2654,0,0,14520,3530,0,0,0,0,0,0,0,0
2,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",517,1,56713,30114,26598,62,0,26467,30117,0,31,34,3,27,17,16,0
3,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",83,1,34825,19549,15275,14,0,17492,17308,0,9,7,0,4,3,1,0
4,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",62,1,26641,15392,11248,10,0,14080,12544,0,8,1,1,5,1,0,0
5,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",102,0,14604,11992,2612,0,0,11102,3502,0,0,0,0,0,0,0,0
6,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",0,0,22116,18880,3236,2,0,17456,4656,0,2,1,0,1,0,0,0
7,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",0,0,13406,11084,2322,0,0,10531,2875,0,0,0,0,0,0,0,0
8,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",313,2,41011,21284,19725,15,0,19449,21537,0,16,0,5,2,0,0,0
9,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",0,0,14154,11754,2400,0,0,11151,3003,0,0,0,0,0,0,0,0
10,0,900.0000000001361,900.0000000001361,60,"[131, 124, 130, 125, 95, 73, 66, 111, 123, 80, 81, 82, 76, 33, 75, 101, 87, 92, 93, 112, 113, 63, 65, 69, 67, 52, 119, 128, 129, 44, 53, 61, 85, 86, 41, 56, 105, 50, 97, 94, 100, 71, 40, 35, 132, 42, 84, 77, 74, 78, 43, 127, 36, 64, 120, 70, 102, 109, 55, 99]",232,0,51682,29112,22570,42,0,25696,25892,0,21,32,3,10,21,7,0
