#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 32
#K= 100
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,18689,15304,3385,0,0,14306,4383,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,16675,13460,3215,0,0,12625,4050,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,17670,14602,3068,0,0,13937,3733,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,14956,11944,3012,0,0,11332,3624,0,0,0,0,0,0,0,0
5,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",1,1,22377,15965,6411,4,0,15062,7310,0,4,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",6,1,29780,17644,12135,5,0,16530,13244,0,5,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,16074,12996,3078,0,0,12321,3753,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,14750,11720,3030,0,0,11071,3679,0,0,0,0,0,0,0,0
9,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,20485,16722,3763,0,0,15354,5131,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,12885,9992,2893,0,0,9539,3346,0,0,0,0,0,0,0,0
11,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,17645,14430,3215,0,0,13615,4030,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",54,1,44112,19382,24729,15,0,18441,25655,0,15,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",58,0,17247,14208,3039,0,0,13494,3753,0,0,0,0,0,0,0,0
14,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,16130,13082,3048,0,0,12418,3712,0,0,0,0,0,0,0,0
15,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,16175,13244,2931,0,0,12684,3491,0,0,0,0,0,0,0,0
16,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,17013,14086,2927,0,0,13543,3470,0,0,0,0,0,0,0,0
17,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",0,0,18561,15394,3167,0,0,14635,3926,0,0,0,0,0,0,0,0
18,0,1200.000000000004,1200.000000000004,33,"[72, 86, 41, 46, 104, 48, 60, 93, 58, 61, 75, 128, 130, 69, 71, 57, 107, 33, 123, 121, 40, 43, 110, 51, 103, 98, 85, 94, 38, 116, 79, 62, 52]",54,2,30835,15240,15593,10,0,14632,16191,0,10,0,0,0,0,0,0
