#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 50
#T= 1200
#K_GROUP= 1
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
1,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,56384,52618,3766,0,0,51282,5102,0,0,0,0,0,0,0,0
2,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,55112,51460,3652,0,0,50268,4844,0,0,0,0,0,0,0,0
3,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,82436,76848,5588,0,0,73651,8785,0,0,0,0,0,0,0,0
4,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,79040,74358,4682,4,0,72058,6974,0,4,2,0,2,0,0,0
5,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,64438,60218,4220,0,0,58382,6056,0,0,0,0,0,0,0,0
6,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,72726,68888,3838,0,0,67435,5291,0,0,0,0,0,0,0,0
7,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",1,0,71506,67535,3971,0,0,65960,5546,0,0,0,0,0,0,0,0
8,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",81,1,98871,78797,20073,8,0,76698,22160,0,5,6,0,1,0,0,0
9,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,60829,57268,3561,0,0,56110,4719,0,0,0,0,0,0,0,0
10,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",6,1,85158,69407,15750,17,0,67544,17580,0,22,1,3,6,0,1,0
11,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,68554,64456,4098,0,0,62771,5783,0,0,0,0,0,0,0,0
12,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",0,0,48879,45492,3387,0,0,44500,4379,0,0,0,0,0,0,0,0
13,0,1200.000000000004,1200.000000000004,27,"[67, 78, 81, 95, 65, 101, 83, 112, 92, 72, 69, 93, 71, 79, 87, 82, 97, 96, 88, 103, 104, 94, 91, 105, 84, 100, 107]",62,1,114817,91418,23398,8,0,88605,26203,0,8,0,0,0,0,0,0
