c_rate_range,anova_p_assertiveness,anova_p_time,kw_p_assertiveness,kw_p_time
"(-inf, 0.5]",0.0,7.371577827799884e-209,1.3803473951984599e-266,3.843993360546412e-192
"(1.0, 2.0]",5.668376284949311e-154,3.9287944394929277e-17,6.535020788286541e-81,5.461280367605507e-15
"(2.0, inf]",9.29325738412828e-77,0.003930293438164387,2.7926429618477562e-30,0.007188718306347035
"(0.5, 1.0]",1.5002115538661744e-177,2.0733347570739713e-07,1.7027576924949596e-96,5.430599883664451e-07
