n,c_rate_range,scanning_type,mission_duration_mean,mission_duration_std,mission_duration_var,assertiveness_mean,assertiveness_std,assertiveness_var,count,mission_duration_cv,assertiveness_cv,assertiveness_ci,mission_duration_ci,c_rate_range_mid
2,"(0.5, 1.0]",ZIGZAG_LMAT,1290.9114389193555,367.31311870278745,134918.927171168,20.151515151515152,21.655960736850087,468.98063543599255,99,0.2845378138490055,1.0746566982196284,4.319205215454007,73.25930986317981,0.75
2,"(1.0, 2.0]",ZIGZAG_LMAT,1270.214564815845,369.20103961964935,136309.4076562299,30.45744680851064,20.79352018257519,432.37048158316173,94,0.2906603733308442,0.6827072641152874,4.25892502367007,75.61968981657989,1.5
4,"(0.5, 1.0]",ZIGZAG_LMAT,1275.0017552527345,376.68787015587753,141893.75152257126,29.870535714285715,19.763779038245367,390.60696187258696,112,0.29544106006443055,0.6616479606287494,3.700579054020776,70.53120961861829,0.75
4,"(1.0, 2.0]",ZIGZAG_LMAT,1285.817444401032,373.04123971754325,139159.76653000157,55.9719387755102,24.252587348767857,588.1879931096147,98,0.29011990881125105,0.4332990401858165,4.862336183619084,74.79003752368233,1.5
8,"(0.5, 1.0]",ZIGZAG_LMAT,1229.0740514987979,376.99910426471894,142128.32461640044,57.121212121212125,18.67598874647945,348.7925556586271,99,0.30673424746457406,0.32695364914261105,3.724860281090783,75.19114562259352,0.75
8,"(1.0, 2.0]",ZIGZAG_LMAT,1258.2229713938766,393.7551656895205,155043.13050718172,78.97222222222223,15.515507123467703,240.73096129837703,90,0.31294545930385703,0.19646790588984778,3.249660052797805,82.47042280613724,1.5
16,"(0.5, 1.0]",ZIGZAG_LMAT,1180.106448844915,404.80882337310874,163870.18348072073,78.70471698113208,16.543856042095104,273.69917274156666,265,0.3430273800887492,0.2102015822769704,2.0010476273234272,48.9632969163436,0.75
16,"(1.0, 2.0]",ZIGZAG_LMAT,1183.972950585992,371.18974160677743,137781.8242741062,90.2568493150685,9.16877672501372,84.0664666331533,219,0.3135120117592736,0.10158538431811824,1.2211110559311538,49.435591128279526,1.5
32,"(0.5, 1.0]",ZIGZAG_LMAT,1091.3833835551654,462.2702759275042,213693.80800609087,89.875,10.647059642561324,113.35987903225805,94,0.42356360092423756,0.11846519769192015,2.1807288204241106,94.68211387778071,0.75
32,"(1.0, 2.0]",ZIGZAG_LMAT,908.8272681273154,411.82185346493605,169597.23899129528,96.04012345679013,5.070049431175985,25.705401234567923,81,0.4531354503848854,0.05279095078899055,1.1210799906432325,91.06128961785339,1.5
64,"(0.5, 1.0]",ZIGZAG_LMAT,858.6024909028889,457.08229360160976,208924.2231241082,95.84848484848484,5.7022266052460395,32.51538825757577,33,0.5323561234034522,0.05949208914736621,2.0219216359648877,162.07433391007325,0.75
64,"(1.0, 2.0]",ZIGZAG_LMAT,712.6000490726881,486.96588980823907,237135.77783673003,97.89,3.415711248529846,11.667083333333318,25,0.6833649400416566,0.03489336243262689,1.4099363065554797,201.00963990742673,1.5
